账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1206016764____,SH,601728,最优五档即时成交剩余撤销买入,6.420,200,1284.00,0.00,20260901,94951,40609,0000000018027532,403701761,g4,,48
2____10140____100____49____1206016764____,SZ,000723,最优五档即时成交剩余撤销买入,4.030,100,403.00,0.00,20260901,94952,40614,0103000019216115,403701762,g4,,48
2____10140____100____49____1206016764____,SH,601288,最优五档即时成交剩余撤销买入,7.000,200,1400.00,0.00,20260901,95515,46029,0000000020935085,403701764,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601398,最优五档即时成交剩余撤销买入,8.100,200,1620.00,0.00,20260901,95515,46035,0000000020938148,403701765,pca_strategy,,48
2____10140____100____49____1206016764____,SH,600025,最优五档即时成交剩余撤销买入,9.660,200,1932.00,0.00,20260901,95516,46043,0000000020941180,403701766,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601328,最优五档即时成交剩余撤销买入,7.320,200,1464.00,0.00,20260901,95516,46048,0000000020942720,403701767,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601857,最优五档即时成交剩余撤销买入,11.520,100,1152.00,0.00,20260901,95517,46066,0000000020948545,403701769,pca_strategy,,48
2____10140____100____49____1206016764____,SH,600188,最优五档即时成交剩余撤销买入,23.570,100,2357.00,0.00,20260901,95517,46077,0000000020953283,403701770,pca_strategy,,48
2____10140____100____49____1206016764____,SZ,000999,最优五档即时成交剩余撤销买入,24.480,100,2448.00,0.00,20260901,95518,46096,0105000021526476,403701771,pca_strategy,,48
2____10140____100____49____1206016764____,SH,600161,最优五档即时成交剩余撤销买入,12.360,100,1236.00,0.00,20260901,95519,46111,0000000020970706,403701772,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601319,最优五档即时成交剩余撤销买入,7.700,200,1540.00,0.00,20260901,95521,46150,0000000020989526,403701773,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601169,最优五档即时成交剩余撤销买入,5.450,300,1635.00,0.00,20260901,95522,46160,0000000020994463,403701774,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601136,最优五档即时成交剩余撤销买入,15.600,100,1560.00,0.00,20260901,95522,46171,0000000020998920,403701775,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601658,最优五档即时成交剩余撤销买入,5.420,300,1626.00,0.00,20260901,95523,46189,0000000021004496,403701776,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601988,最优五档即时成交剩余撤销买入,6.600,200,1320.00,0.00,20260901,95523,46195,0000000021008557,403701777,pca_strategy,,48
2____10140____100____49____1206016764____,SZ,000301,最优五档即时成交剩余撤销买入,14.640,100,1464.00,0.00,20260901,95557,46665,0104000021552900,403701778,rolling,,48
2____10140____100____49____1206016764____,SH,600028,最优五档即时成交剩余撤销买入,5.490,100,549.00,0.00,20260901,95557,46678,0000000021244261,403701779,rolling,,48
2____10140____100____49____1206016764____,SH,600346,最优五档即时成交剩余撤销买入,19.520,100,1952.00,0.00,20260901,95558,46690,0000000021247383,403701780,rolling,,48
2____10140____100____49____1206016764____,SH,601898,最优五档即时成交剩余撤销买入,16.000,100,1600.00,0.00,20260901,95559,46713,0000000021254165,403701781,rolling,,48
2____10140____100____49____1206016764____,SH,600372,限价卖出,11.310,100,1131.00,0.00,20260901,95850,48856,0000000022545521,403701782,,,48
