账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1219020189____,SH,600372,0,0,0,0,600,0.000,0.00,235.25
2____10140____100____49____1219020189____,SH,601728,1100,0,1100,0,0,6.439,7117.00,33.81
2____10140____100____49____1219020189____,SZ,000723,400,0,400,0,0,4.043,1596.00,-21.00
2____10140____100____49____1219020189____,SZ,300383,100,0,100,0,0,12.430,1234.00,-9.00
2____10140____100____49____1219020189____,SZ,300609,300,0,300,0,0,25.657,7674.00,-23.02
2____10140____100____49____1219020189____,SH,600850,200,0,200,0,0,14.885,2954.00,-22.90
2____10140____100____49____1219020189____,SZ,300250,100,0,100,0,0,16.961,1672.00,-24.07
2____10140____100____49____1219020189____,SH,688223,1047,0,1047,0,0,4.132,4334.58,8.00
2____10140____100____49____1219020189____,SH,601288,1500,0,1500,0,0,7.021,10575.00,43.50
2____10140____100____49____1219020189____,SH,601398,1200,0,1200,0,0,8.124,9780.00,30.84
2____10140____100____49____1219020189____,SH,600025,900,0,900,0,0,9.689,8739.00,18.92
2____10140____100____49____1219020189____,SH,601328,1300,0,1300,0,0,7.342,9568.00,23.45
2____10140____100____49____1219020189____,SZ,000651,200,0,200,0,0,39.077,7710.00,-105.38
2____10140____100____49____1219020189____,SH,688396,209,0,209,0,0,59.337,12245.31,-156.22
2____10140____100____49____1219020189____,SH,688126,481,0,481,0,0,24.313,11587.29,-107.13
2____10140____100____49____1219020189____,SH,601857,900,0,900,0,0,11.555,10287.00,-112.10
2____10140____100____49____1219020189____,SH,601100,100,0,100,0,0,102.256,10188.00,-37.59
2____10140____100____49____1219020189____,SZ,300347,200,0,200,0,0,51.995,10280.00,-119.10
2____10140____100____49____1219020189____,SH,600188,400,0,400,0,0,23.618,8992.00,-455.25
2____10140____100____49____1219020189____,SZ,000999,400,0,400,0,0,24.553,9764.00,-57.38
2____10140____100____49____1219020189____,SH,600161,700,0,700,0,0,12.397,8652.00,-25.96
2____10140____100____49____1219020189____,SZ,000963,300,0,300,0,0,27.582,8214.00,-60.75
2____10140____100____49____1219020189____,SZ,000977,100,0,100,0,0,86.519,8560.00,-91.88
2____10140____100____49____1219020189____,SH,601319,1400,0,1400,0,0,7.723,11074.00,261.66
2____10140____100____49____1219020189____,SH,601169,1800,0,1800,0,0,5.466,9882.00,42.57
2____10140____100____49____1219020189____,SH,601136,600,0,600,0,0,15.647,9348.00,-40.08
2____10140____100____49____1219020189____,SH,601658,1800,0,1800,0,0,5.436,9864.00,78.73
2____10140____100____49____1219020189____,SH,601988,1300,0,1300,0,0,6.620,8671.00,65.26
2____10140____100____49____1219020189____,SZ,000301,700,0,700,0,0,14.684,10115.00,-163.74
2____10140____100____49____1219020189____,SZ,002648,300,0,300,0,0,29.017,8586.00,-119.04
2____10140____100____49____1219020189____,SZ,002714,100,0,100,0,0,42.517,4240.00,-11.72
2____10140____100____49____1219020189____,SH,600028,800,0,800,0,0,5.506,4416.00,10.82
2____10140____100____49____1219020189____,SH,600346,500,0,500,0,0,19.579,9580.00,-209.28
2____10140____100____49____1219020189____,SH,600760,200,0,200,0,0,47.642,9526.00,-2.50
2____10140____100____49____1219020189____,SH,601898,300,0,300,0,0,16.048,4629.00,-185.40
2____10140____100____49____1219020189____,SZ,000983,200,0,200,0,0,7.455,1450.00,-41.00
2____10140____100____49____1219020189____,SH,600919,100,0,100,0,0,12.270,1229.00,2.00
2____10140____100____49____1219020189____,SH,601872,100,0,100,0,0,18.696,1839.00,-30.59
2____10140____100____49____1219020189____,SH,601919,100,0,100,0,0,17.191,1698.00,-21.14
2____10140____100____49____1219020189____,SH,601998,200,0,200,0,0,8.867,1762.00,-11.30
2____10140____100____49____1219020189____,SH,601229,200,0,200,0,0,9.619,1936.00,12.25
