账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1219020189____,SH,600346,最优五档即时成交剩余撤销买入,19.520,500,9760.00,0.00,20260901,95558,46696,0000000021248688,403701793,rolling,,48
2____10140____100____49____1219020189____,SH,600760,最优五档即时成交剩余撤销买入,47.500,200,9500.00,0.00,20260901,95558,46697,0000000021248759,403701794,rolling,,48
2____10140____100____49____1219020189____,SH,601898,最优五档即时成交剩余撤销买入,16.000,300,4800.00,0.00,20260901,95559,46714,0000000021254166,403701795,rolling,,48
2____10140____100____49____1219020189____,SZ,000983,最优五档即时成交剩余撤销买入,7.430,200,1486.00,0.00,20260901,95752,48295,0104000022500703,403701796,yz10,,48
2____10140____100____49____1219020189____,SH,600919,最优五档即时成交剩余撤销买入,12.220,100,1222.00,0.00,20260901,95752,48308,0000000022116546,403701797,yz10,,48
2____10140____100____49____1219020189____,SH,601872,最优五档即时成交剩余撤销买入,18.640,100,1864.00,0.00,20260901,95753,48313,0000000022119338,403701798,yz10,,48
2____10140____100____49____1219020189____,SH,601919,最优五档即时成交剩余撤销买入,17.140,100,1714.00,0.00,20260901,95753,48321,0000000022122942,403701799,yz10,,48
2____10140____100____49____1219020189____,SH,601998,最优五档即时成交剩余撤销买入,8.840,200,1768.00,0.00,20260901,95753,48323,0000000022122943,403701800,yz10,,48
2____10140____100____49____1219020189____,SH,601229,最优五档即时成交剩余撤销买入,9.590,200,1918.00,0.00,20260901,95754,48338,0000000022129737,403701801,yz10,,48
2____10140____100____49____1219020189____,SH,600372,最优五档即时成交剩余撤销卖出,11.310,200,2262.00,0.00,20260901,95820,48688,0000000022326809,403701802,,,48
2____10140____100____49____1219020189____,SH,600372,最优五档即时成交剩余撤销卖出,11.310,200,2262.00,0.00,20260901,95820,48688,0000000022326810,403701802,,,48
2____10140____100____49____1219020189____,SH,600372,最优五档即时成交剩余撤销卖出,11.310,200,2262.00,0.00,20260901,95820,48688,0000000022326811,403701802,,,48
2____10140____100____49____1219020189____,SH,204001,通用回购卖出,1.375,7090,709000.00,0.00,20260901,150116,137047,1200801005495202,,,,48
