账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1219020189____,SH,601728,最优五档即时成交剩余撤销买入,6.420,1100,7062.00,0.00,20260901,94951,40611,0000000018027536,403701761,g4,,48
2____10140____100____49____1219020189____,SZ,000723,最优五档即时成交剩余撤销买入,4.030,60,241.80,0.00,20260901,94953,40639,0103000019228895,403701762,g4,,48
2____10140____100____49____1219020189____,SZ,000723,最优五档即时成交剩余撤销买入,4.030,340,1370.20,0.00,20260901,94953,40639,0103000019228897,403701762,g4,,48
2____10140____100____49____1219020189____,SZ,300383,最优五档即时成交剩余撤销买入,12.380,100,1238.00,0.00,20260901,95202,42868,0105000019725455,403701763,g50,,48
2____10140____100____49____1219020189____,SZ,300609,最优五档即时成交剩余撤销买入,25.580,300,7674.00,0.00,20260901,95232,43422,0103000020891567,403701764,g7,,48
2____10140____100____49____1219020189____,SH,600850,最优五档即时成交剩余撤销买入,14.840,200,2968.00,0.00,20260901,95233,43429,0000000019603502,403701765,g7,,48
2____10140____100____49____1219020189____,SZ,300250,最优五档即时成交剩余撤销买入,16.910,100,1691.00,0.00,20260901,95233,43432,0101000020708573,403701766,g7,,48
2____10140____100____49____1219020189____,SH,688223,最优五档即时成交剩余撤销买入,4.120,1047,4313.64,0.00,20260901,95344,44592,0000000020249603,403701767,indicator,,48
2____10140____100____49____1219020189____,SH,601288,最优五档即时成交剩余撤销买入,7.000,1500,10500.00,0.00,20260901,95515,46031,0000000020936265,403701768,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601398,最优五档即时成交剩余撤销买入,8.100,1200,9720.00,0.00,20260901,95515,46041,0000000020939311,403701769,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600025,最优五档即时成交剩余撤销买入,9.660,900,8694.00,0.00,20260901,95516,46044,0000000020941794,403701770,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601328,最优五档即时成交剩余撤销买入,7.320,1300,9516.00,0.00,20260901,95516,46050,0000000020943739,403701771,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000651,最优五档即时成交剩余撤销买入,38.960,100,3896.00,0.00,20260901,95516,46053,0103000022318877,403701772,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000651,最优五档即时成交剩余撤销买入,38.960,100,3896.00,0.00,20260901,95516,46053,0103000022318879,403701772,pca_strategy,,48
2____10140____100____49____1219020189____,SH,688396,最优五档即时成交剩余撤销买入,59.160,209,12364.44,0.00,20260901,95516,46055,0000000020944752,403701773,pca_strategy,,48
2____10140____100____49____1219020189____,SH,688126,最优五档即时成交剩余撤销买入,24.240,481,11659.44,0.00,20260901,95517,46064,0000000020947232,403701774,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601857,最优五档即时成交剩余撤销买入,11.520,600,6912.00,0.00,20260901,95517,46070,0000000020950757,403701775,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601857,最优五档即时成交剩余撤销买入,11.520,100,1152.00,0.00,20260901,95517,46070,0000000020950758,403701775,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601857,最优五档即时成交剩余撤销买入,11.520,100,1152.00,0.00,20260901,95517,46070,0000000020950759,403701775,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601857,最优五档即时成交剩余撤销买入,11.520,100,1152.00,0.00,20260901,95517,46070,0000000020950760,403701775,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601100,最优五档即时成交剩余撤销买入,101.950,100,10195.00,0.00,20260901,95517,46074,0000000020952581,403701776,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,300347,最优五档即时成交剩余撤销买入,51.840,200,10368.00,0.00,20260901,95518,46093,0105000021525351,403701778,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600188,最优五档即时成交剩余撤销买入,23.570,300,7071.00,0.00,20260901,95518,46092,0000000020960679,403701777,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000999,最优五档即时成交剩余撤销买入,24.480,400,9792.00,0.00,20260901,95519,46108,0105000021532451,403701779,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600161,最优五档即时成交剩余撤销买入,12.360,100,1236.00,0.00,20260901,95520,46122,0000000020974578,403701780,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600161,最优五档即时成交剩余撤销买入,12.360,600,7416.00,0.00,20260901,95520,46122,0000000020974579,403701780,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000963,最优五档即时成交剩余撤销买入,27.500,100,2750.00,0.00,20260901,95521,46132,0103000022357259,403701781,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000963,最优五档即时成交剩余撤销买入,27.500,200,5500.00,0.00,20260901,95521,46132,0103000022357261,403701781,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000977,最优五档即时成交剩余撤销买入,86.260,100,8626.00,0.00,20260901,95521,46133,0105000021546048,403701782,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601319,最优五档即时成交剩余撤销买入,7.700,1400,10780.00,0.00,20260901,95522,46159,0000000020994245,403701783,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601169,最优五档即时成交剩余撤销买入,5.450,1117,6087.65,0.00,20260901,95522,46164,0000000020996072,403701784,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601169,最优五档即时成交剩余撤销买入,5.450,683,3722.35,0.00,20260901,95522,46164,0000000020996073,403701784,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601136,最优五档即时成交剩余撤销买入,15.600,600,9360.00,0.00,20260901,95522,46178,0000000020999090,403701785,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销买入,5.420,1800,9756.00,0.00,20260901,95523,46191,0000000021005848,403701786,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601988,最优五档即时成交剩余撤销买入,6.600,1300,8580.00,0.00,20260901,95523,46196,0000000021008558,403701787,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000301,最优五档即时成交剩余撤销买入,14.640,700,10248.00,0.00,20260901,95557,46666,0104000021553296,403701788,rolling,,48
2____10140____100____49____1219020189____,SZ,002648,最优五档即时成交剩余撤销买入,28.930,300,8679.00,0.00,20260901,95557,46670,0103000022659423,403701789,rolling,,48
2____10140____100____49____1219020189____,SZ,002714,最优五档即时成交剩余撤销买入,42.390,100,4239.00,0.00,20260901,95557,46673,0103000022660492,403701790,rolling,,48
2____10140____100____49____1219020189____,SH,600028,最优五档即时成交剩余撤销买入,5.490,800,4392.00,0.00,20260901,95557,46681,0000000021245556,403701791,rolling,,48
2____10140____100____49____1219020189____,SH,600188,最优五档即时成交剩余撤销买入,23.480,100,2348.00,0.00,20260901,95557,46688,0000000021246565,403701792,rolling,,48
