账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1206016764____,SZ,159273,100,100,0,0,100,-83.596,142.50,8502.12
2____10140____100____49____1206016764____,SZ,159329,100,100,0,0,100,3.311,92.10,-239.03
2____10140____100____49____1206016764____,SZ,159537,100,100,0,0,100,-2.545,90.20,344.69
2____10140____100____49____1206016764____,SZ,159632,100,100,0,0,100,-51.018,246.30,5348.08
2____10140____100____49____1206016764____,SZ,159867,335700,335700,0,0,335700,0.578,190341.90,-3696.54
2____10140____100____49____1206016764____,SZ,159928,100,100,0,0,100,-9.282,67.40,995.57
2____10140____100____49____1206016764____,SZ,159992,100,100,0,0,100,-27.950,84.90,2879.88
2____10140____100____49____1206016764____,SZ,159995,20000,20000,0,0,20000,1.189,22800.00,-982.38
2____10140____100____49____1206016764____,SH,512930,100,100,0,0,100,-2.610,62.80,323.78
2____10140____100____49____1206016764____,SH,513010,100,100,0,0,100,-13.626,59.40,1421.98
2____10140____100____49____1206016764____,SH,516620,100,100,0,0,100,-8.392,89.00,928.20
2____10140____100____49____1206016764____,SH,517050,100,100,0,0,100,-2.463,67.00,313.30
2____10140____100____49____1206016764____,SH,588710,20000,20000,0,0,20000,1.061,19960.00,-1262.12
2____10140____100____49____1206016764____,SH,588930,100,100,0,0,100,-3.894,156.60,546.00
2____10140____100____49____1206016764____,SH,600372,0,0,0,0,100,0.000,0.00,38.34
2____10140____100____49____1206016764____,SH,601728,200,0,200,0,0,6.445,1294.00,5.00
2____10140____100____49____1206016764____,SZ,000723,100,0,100,0,0,4.080,399.00,-9.00
2____10140____100____49____1206016764____,SH,601288,200,0,200,0,0,7.025,1410.00,5.00
2____10140____100____49____1206016764____,SH,601398,200,0,200,0,0,8.125,1630.00,5.00
2____10140____100____49____1206016764____,SH,600025,200,0,200,0,0,9.689,1942.00,4.20
2____10140____100____49____1206016764____,SH,601328,200,0,200,0,0,7.345,1472.00,3.00
2____10140____100____49____1206016764____,SH,601857,100,0,100,0,0,11.570,1143.00,-14.00
2____10140____100____49____1206016764____,SH,600188,100,0,100,0,0,23.641,2248.00,-116.07
2____10140____100____49____1206016764____,SZ,000999,100,0,100,0,0,24.553,2441.00,-14.34
2____10140____100____49____1206016764____,SH,600161,100,0,100,0,0,12.410,1236.00,-5.00
2____10140____100____49____1206016764____,SH,601319,200,0,200,0,0,7.725,1582.00,37.00
2____10140____100____49____1206016764____,SH,601169,300,0,300,0,0,5.467,1647.00,7.00
2____10140____100____49____1206016764____,SH,601136,100,0,100,0,0,15.650,1558.00,-7.00
2____10140____100____49____1206016764____,SH,601658,300,0,300,0,0,5.437,1644.00,13.00
2____10140____100____49____1206016764____,SH,601988,200,0,200,0,0,6.625,1334.00,9.00
2____10140____100____49____1206016764____,SZ,000301,100,0,100,0,0,14.690,1445.00,-24.00
2____10140____100____49____1206016764____,SH,600028,100,0,100,0,0,5.540,552.00,-2.00
2____10140____100____49____1206016764____,SH,600346,100,0,100,0,0,19.579,1916.00,-41.86
2____10140____100____49____1206016764____,SH,601898,100,0,100,0,0,16.050,1543.00,-62.00
