账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1206016764____,SZ,159273,100,100,0,0,100,-83.596,138.40,8498.02
2____10140____100____49____1206016764____,SZ,159329,100,100,0,0,100,3.311,91.60,-239.53
2____10140____100____49____1206016764____,SZ,159537,100,100,0,0,100,-2.545,86.10,340.59
2____10140____100____49____1206016764____,SZ,159632,100,100,0,0,100,-51.018,246.60,5348.38
2____10140____100____49____1206016764____,SZ,159867,335700,335700,0,0,335700,0.578,194370.30,331.86
2____10140____100____49____1206016764____,SZ,159928,100,100,0,0,100,-9.282,68.70,996.87
2____10140____100____49____1206016764____,SZ,159992,100,100,0,0,100,-27.950,84.50,2879.48
2____10140____100____49____1206016764____,SZ,159995,20000,20000,0,0,20000,1.189,21720.00,-2062.38
2____10140____100____49____1206016764____,SZ,300413,0,0,0,0,100,0.000,0.00,-57.33
2____10140____100____49____1206016764____,SH,512930,100,100,0,0,100,-2.610,60.60,321.58
2____10140____100____49____1206016764____,SH,513010,100,100,0,0,100,-13.626,59.10,1421.68
2____10140____100____49____1206016764____,SH,516620,100,100,0,0,100,-8.392,88.60,927.80
2____10140____100____49____1206016764____,SH,517050,100,100,0,0,100,-2.463,67.00,313.30
2____10140____100____49____1206016764____,SH,588710,20000,20000,0,0,20000,1.061,18660.00,-2562.12
2____10140____100____49____1206016764____,SH,588930,100,100,0,0,100,-3.894,150.70,540.10
2____10140____100____49____1206016764____,SH,600018,0,0,0,0,200,0.000,0.00,-9.64
2____10140____100____49____1206016764____,SH,600039,0,0,0,0,100,0.000,0.00,-27.54
2____10140____100____49____1206016764____,SH,601169,0,0,0,0,200,0.000,0.00,18.25
2____10140____100____49____1206016764____,SH,601319,0,0,0,0,200,0.000,0.00,64.98
2____10140____100____49____1206016764____,SH,601658,0,0,0,0,300,0.000,0.00,-1.07
2____10140____100____49____1206016764____,SH,601728,600,400,200,0,400,6.435,3828.00,-33.23
2____10140____100____49____1206016764____,SH,601916,200,200,0,0,200,2.960,594.00,1.95
2____10140____100____49____1206016764____,SH,601988,100,100,0,0,100,6.644,657.00,-7.39
2____10140____100____49____1206016764____,SH,601998,100,100,0,0,100,8.831,889.00,5.92
