账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1206016764____,SZ,300413,最优五档即时成交剩余撤销卖出,20.420,100,2042.00,0.00,20260904,93001,10609,0104000001218804,1209008129,rolling,,48
2____10140____100____49____1206016764____,SH,600018,最优五档即时成交剩余撤销卖出,5.490,200,1098.00,0.00,20260904,93028,10659,0000000000988378,1209008130,rolling,,48
2____10140____100____49____1206016764____,SH,600039,最优五档即时成交剩余撤销卖出,9.270,100,927.00,0.00,20260904,93028,10673,0000000000991050,1209008131,rolling,,48
2____10140____100____49____1206016764____,SH,601319,最优五档即时成交剩余撤销卖出,8.070,200,1614.00,0.00,20260904,93029,10711,0000000000997911,1209008133,rolling,,48
2____10140____100____49____1206016764____,SH,601658,最优五档即时成交剩余撤销卖出,5.450,300,1635.00,0.00,20260904,93029,10719,0000000000997914,1209008134,rolling,,48
2____10140____100____49____1206016764____,SH,601169,最优五档即时成交剩余撤销卖出,5.540,200,1108.00,0.00,20260904,93032,10698,0000000001070478,1209008132,rolling,,48
2____10140____100____49____1206016764____,SH,601728,最优五档即时成交剩余撤销买入,6.380,200,1276.00,0.00,20260904,93032,10751,0000000001077399,1209008135,g4,,48
