账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1206016764____,SH,601728,最优五档即时成交剩余撤销买入,6.500,100,650.00,0.00,20260902,93031,12222,0000000001254223,672137217,g4,,48
2____10140____100____49____1206016764____,SH,601018,最优五档即时成交剩余撤销买入,3.510,100,351.00,0.00,20260902,93036,13448,0000000001379541,672137219,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601136,最优五档即时成交剩余撤销买入,15.580,100,1558.00,0.00,20260902,93040,13645,0000000001518983,672137220,rolling,,48
2____10140____100____49____1206016764____,SH,601988,最优五档即时成交剩余撤销买入,6.710,100,671.00,0.00,20260902,93047,13669,0000000001713343,672137221,rolling,,48
2____10140____100____49____1206016764____,SH,600028,最优五档即时成交剩余撤销卖出,5.560,100,556.00,0.00,20260902,93048,13712,0000000001739823,672137222,rolling,,48
2____10140____100____49____1206016764____,SH,600346,最优五档即时成交剩余撤销卖出,19.200,100,1920.00,0.00,20260902,93048,13751,0000000001754533,672137223,rolling,,48
2____10140____100____49____1206016764____,SH,600188,最优五档即时成交剩余撤销卖出,22.770,100,2277.00,0.00,20260902,93115,14910,0000000002595148,672137224,pca_strategy,,48
2____10140____100____49____1206016764____,SZ,000723,最优五档即时成交剩余撤销卖出,3.930,100,393.00,0.00,20260902,93631,25716,0101000008202153,672137225,g4,,48
2____10140____100____49____1206016764____,SH,601136,最优五档即时成交剩余撤销卖出,15.130,100,1513.00,0.00,20260902,100127,54280,0000000022695453,672137226,pca_strategy,,48
