账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1219020189____,SZ,000723,最优五档即时成交剩余撤销买入,4.100,300,1230.00,0.00,20260902,93001,12251,0101000001166150,672137218,g4,,48
2____10140____100____49____1219020189____,SZ,300609,最优五档即时成交剩余撤销买入,25.270,100,2527.00,0.00,20260902,93002,12383,0101000001342065,672137220,g7,,48
2____10140____100____49____1219020189____,SZ,300609,最优五档即时成交剩余撤销买入,25.270,100,2527.00,0.00,20260902,93002,12383,0101000001342067,672137220,g7,,48
2____10140____100____49____1219020189____,SZ,300250,最优五档即时成交剩余撤销买入,16.640,100,1664.00,0.00,20260902,93003,12407,0104000001508103,672137221,g7,,48
2____10140____100____49____1219020189____,SZ,300250,最优五档即时成交剩余撤销买入,16.640,100,1664.00,0.00,20260902,93003,12407,0104000001508105,672137221,g7,,48
2____10140____100____49____1219020189____,SZ,300383,最优五档即时成交剩余撤销买入,12.200,100,1220.00,0.00,20260902,93004,12458,0103000001598511,672137223,g50,,48
2____10140____100____49____1219020189____,SZ,300383,最优五档即时成交剩余撤销卖出,12.180,100,1218.00,0.00,20260902,93006,12496,0103000001672678,672137224,g50,,48
2____10140____100____49____1219020189____,SH,600850,最优五档即时成交剩余撤销买入,14.640,100,1464.00,0.00,20260902,93030,12421,0000000001226602,672137222,g7,,48
2____10140____100____49____1219020189____,SH,601728,最优五档即时成交剩余撤销买入,6.500,500,3250.00,0.00,20260902,93031,12245,0000000001262493,672137217,g4,,48
2____10140____100____49____1219020189____,SH,601728,最优五档即时成交剩余撤销买入,6.500,200,1300.00,0.00,20260902,93031,12245,0000000001262494,672137217,g4,,48
2____10140____100____49____1219020189____,SH,688472,最优五档即时成交剩余撤销买入,8.950,481,4304.95,0.00,20260902,93034,12311,0000000001343299,672137219,indicator,,48
2____10140____100____49____1219020189____,SH,601018,最优五档即时成交剩余撤销买入,3.510,300,1053.00,0.00,20260902,93036,13456,0000000001379779,672137227,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601398,最优五档即时成交剩余撤销买入,8.220,200,1644.00,0.00,20260902,93036,13460,0000000001383958,672137228,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000983,最优五档即时成交剩余撤销买入,7.320,200,1464.00,0.00,20260902,93036,13487,0101000002436398,672137231,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601857,最优五档即时成交剩余撤销买入,11.550,100,1155.00,0.00,20260902,93037,13483,0000000001428978,672137230,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601600,最优五档即时成交剩余撤销买入,9.660,100,966.00,0.00,20260902,93038,13498,0000000001438053,672137232,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601319,最优五档即时成交剩余撤销买入,8.050,200,1610.00,0.00,20260902,93038,13509,0000000001442698,672137233,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销买入,5.520,300,1656.00,0.00,20260902,93038,13532,0000000001459311,672137234,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000938,最优五档即时成交剩余撤销买入,38.010,100,3801.00,0.00,20260902,93039,13602,0105000002716244,672137237,rolling,,48
2____10140____100____49____1219020189____,SZ,000977,最优五档即时成交剩余撤销买入,85.990,100,8599.00,0.00,20260902,93039,13615,0105000002721105,672137238,rolling,,48
2____10140____100____49____1219020189____,SH,600039,最优五档即时成交剩余撤销买入,9.550,100,955.00,0.00,20260902,93039,13582,0000000001486794,672137236,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601288,最优五档即时成交剩余撤销买入,7.090,200,1418.00,0.00,20260902,93039,13419,0000000001486034,672137225,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601136,最优五档即时成交剩余撤销买入,15.580,100,1558.00,0.00,20260902,93040,13646,0000000001519238,672137240,rolling,,48
2____10140____100____49____1219020189____,SH,601136,最优五档即时成交剩余撤销买入,15.580,100,1558.00,0.00,20260902,93040,13646,0000000001519239,672137240,rolling,,48
2____10140____100____49____1219020189____,SH,601136,最优五档即时成交剩余撤销买入,15.580,100,1558.00,0.00,20260902,93040,13646,0000000001519240,672137240,rolling,,48
2____10140____100____49____1219020189____,SH,601225,最优五档即时成交剩余撤销买入,26.930,100,2693.00,0.00,20260902,93040,13651,0000000001523436,672137241,rolling,,48
2____10140____100____49____1219020189____,SH,601225,最优五档即时成交剩余撤销买入,26.970,200,5394.00,0.00,20260902,93040,13651,0000000001523437,672137241,rolling,,48
2____10140____100____49____1219020189____,SZ,002648,最优五档即时成交剩余撤销卖出,28.690,200,5738.00,0.00,20260902,93041,13701,0102000002768916,672137243,rolling,,48
2____10140____100____49____1219020189____,SZ,002714,最优五档即时成交剩余撤销卖出,42.280,100,4228.00,0.00,20260902,93041,13707,0102000002771687,672137244,rolling,,48
2____10140____100____49____1219020189____,SH,601169,最优五档即时成交剩余撤销买入,5.520,300,1656.00,0.00,20260902,93042,13558,0000000001563757,672137235,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600025,最优五档即时成交剩余撤销买入,9.750,100,975.00,0.00,20260902,93042,13428,0000000001570033,672137226,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601328,最优五档即时成交剩余撤销买入,7.440,200,1488.00,0.00,20260902,93043,13471,0000000001606255,672137229,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600547,最优五档即时成交剩余撤销买入,35.600,300,10680.00,0.00,20260902,93045,13630,0000000001672220,672137239,rolling,,48
2____10140____100____49____1219020189____,SH,601988,最优五档即时成交剩余撤销买入,6.710,600,4026.00,0.00,20260902,93047,13685,0000000001718211,672137242,rolling,,48
2____10140____100____49____1219020189____,SH,600028,最优五档即时成交剩余撤销卖出,5.560,700,3892.00,0.00,20260902,93048,13732,0000000001750099,672137245,rolling,,48
2____10140____100____49____1219020189____,SH,600346,最优五档即时成交剩余撤销卖出,19.200,400,7680.00,0.00,20260902,93048,13759,0000000001759839,672137246,rolling,,48
2____10140____100____49____1219020189____,SH,600760,最优五档即时成交剩余撤销卖出,47.680,100,4768.00,0.00,20260902,93049,13767,0000000001781535,672137247,rolling,,48
2____10140____100____49____1219020189____,SH,688396,最优五档即时成交剩余撤销卖出,57.370,209,11990.33,0.00,20260902,93050,13802,0000000001798529,672137248,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600188,最优五档即时成交剩余撤销卖出,22.770,200,4554.00,0.00,20260902,93115,14919,0000000002603037,672137249,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600188,最优五档即时成交剩余撤销卖出,22.770,100,2277.00,0.00,20260902,93115,14919,0000000002603038,672137249,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600850,最优五档即时成交剩余撤销卖出,14.470,200,2894.00,0.00,20260902,93531,23885,0000000007300481,672137250,g7,,48
2____10140____100____49____1219020189____,SZ,000723,最优五档即时成交剩余撤销卖出,3.930,200,786.00,0.00,20260902,93631,25719,0101000008204562,672137251,g4,,48
2____10140____100____49____1219020189____,SZ,000723,最优五档即时成交剩余撤销卖出,3.930,200,786.00,0.00,20260902,93631,25719,0101000008204564,672137251,g4,,48
2____10140____100____49____1219020189____,SZ,300609,最优五档即时成交剩余撤销卖出,24.930,100,2493.00,0.00,20260902,93649,26271,0101000008458592,672137252,g7,,48
2____10140____100____49____1219020189____,SZ,300609,最优五档即时成交剩余撤销卖出,24.930,200,4986.00,0.00,20260902,93649,26271,0101000008458594,672137252,g7,,48
2____10140____100____49____1219020189____,SZ,300250,最优五档即时成交剩余撤销卖出,16.380,100,1638.00,0.00,20260902,93841,29482,0104000010740981,672137253,g7,,48
2____10140____100____49____1219020189____,SZ,300347,最优五档即时成交剩余撤销卖出,50.260,200,10052.00,0.00,20260902,94201,34544,0102000013320976,672137254,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601136,最优五档即时成交剩余撤销卖出,15.130,600,9078.00,0.00,20260902,100127,54281,0000000022696508,672137255,pca_strategy,,48
2____10140____100____49____1219020189____,SH,204001,通用回购卖出,1.405,7110,711000.00,0.00,20260902,150002,138096,1200801005859823,,,,48
