账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1206016764____,SZ,000301,100,100,0,0,100,14.641,1381.00,-83.13
2____10140____100____49____1206016764____,SZ,000723,0,0,0,0,100,0.000,0.00,-15.23
2____10140____100____49____1206016764____,SZ,000999,100,100,0,0,100,24.482,2414.00,-34.21
2____10140____100____49____1206016764____,SZ,159273,100,100,0,0,100,-83.596,139.50,8499.12
2____10140____100____49____1206016764____,SZ,159329,100,100,0,0,100,3.311,92.00,-239.13
2____10140____100____49____1206016764____,SZ,159537,100,100,0,0,100,-2.545,88.60,343.09
2____10140____100____49____1206016764____,SZ,159632,100,100,0,0,100,-51.018,242.00,5343.78
2____10140____100____49____1206016764____,SZ,159867,335700,335700,0,0,335700,0.578,187992.00,-6046.44
2____10140____100____49____1206016764____,SZ,159928,100,100,0,0,100,-9.282,66.80,994.97
2____10140____100____49____1206016764____,SZ,159992,100,100,0,0,100,-27.950,84.30,2879.28
2____10140____100____49____1206016764____,SZ,159995,20000,20000,0,0,20000,1.189,22420.00,-1362.38
2____10140____100____49____1206016764____,SH,512930,100,100,0,0,100,-2.610,61.70,322.68
2____10140____100____49____1206016764____,SH,513010,100,100,0,0,100,-13.626,58.60,1421.18
2____10140____100____49____1206016764____,SH,516620,100,100,0,0,100,-8.392,86.70,925.90
2____10140____100____49____1206016764____,SH,517050,100,100,0,0,100,-2.463,65.90,312.20
2____10140____100____49____1206016764____,SH,588710,20000,20000,0,0,20000,1.061,19580.00,-1642.12
2____10140____100____49____1206016764____,SH,588930,100,100,0,0,100,-3.894,153.50,542.90
2____10140____100____49____1206016764____,SH,600025,200,200,0,0,200,9.661,1980.00,47.84
2____10140____100____49____1206016764____,SH,600028,0,0,0,0,100,0.000,0.00,1.67
2____10140____100____49____1206016764____,SH,600161,100,100,0,0,100,12.361,1216.00,-20.11
2____10140____100____49____1206016764____,SH,600188,0,0,0,0,100,0.000,0.00,-88.17
2____10140____100____49____1206016764____,SH,600346,0,0,0,0,100,0.000,0.00,-38.89
2____10140____100____49____1206016764____,SH,601136,100,0,100,0,100,16.159,1513.00,-102.89
2____10140____100____49____1206016764____,SH,601169,300,300,0,0,300,5.450,1662.00,26.86
2____10140____100____49____1206016764____,SH,601288,200,200,0,0,200,7.001,1412.00,11.88
2____10140____100____49____1206016764____,SH,601319,200,200,0,0,200,7.701,1584.00,43.87
2____10140____100____49____1206016764____,SH,601328,200,200,0,0,200,7.321,1486.00,21.87
2____10140____100____49____1206016764____,SH,601398,200,200,0,0,200,8.101,1644.00,23.86
2____10140____100____49____1206016764____,SH,601658,300,300,0,0,300,5.420,1668.00,41.86
2____10140____100____49____1206016764____,SH,601728,300,200,100,0,200,6.464,1941.00,1.89
2____10140____100____49____1206016764____,SH,601857,100,100,0,0,100,11.521,1126.00,-26.10
2____10140____100____49____1206016764____,SH,601898,100,100,0,0,100,16.001,1501.00,-99.14
2____10140____100____49____1206016764____,SH,601988,300,200,100,0,200,6.654,2004.00,7.89
2____10140____100____49____1206016764____,SH,601018,100,0,100,0,0,3.560,347.00,-9.00
