账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1206016764____,SZ,000301,100,100,0,0,100,14.641,1382.00,-82.13
2____10140____100____49____1206016764____,SZ,000999,100,100,0,0,100,24.482,2415.00,-33.21
2____10140____100____49____1206016764____,SZ,159273,100,100,0,0,100,-83.596,139.50,8499.12
2____10140____100____49____1206016764____,SZ,159329,100,100,0,0,100,3.311,91.70,-239.43
2____10140____100____49____1206016764____,SZ,159537,100,100,0,0,100,-2.545,88.60,343.09
2____10140____100____49____1206016764____,SZ,159632,100,100,0,0,100,-51.018,243.30,5345.08
2____10140____100____49____1206016764____,SZ,159867,335700,335700,0,0,335700,0.578,188327.70,-5710.74
2____10140____100____49____1206016764____,SZ,159928,100,100,0,0,100,-9.282,66.70,994.87
2____10140____100____49____1206016764____,SZ,159992,100,100,0,0,100,-27.950,84.10,2879.08
2____10140____100____49____1206016764____,SZ,159995,20000,20000,0,0,20000,1.189,22420.00,-1362.38
2____10140____100____49____1206016764____,SH,512930,100,100,0,0,100,-2.610,61.80,322.78
2____10140____100____49____1206016764____,SH,513010,100,100,0,0,100,-13.626,58.70,1421.28
2____10140____100____49____1206016764____,SH,516620,100,100,0,0,100,-8.392,86.50,925.70
2____10140____100____49____1206016764____,SH,517050,100,100,0,0,100,-2.463,65.90,312.20
2____10140____100____49____1206016764____,SH,588710,20000,20000,0,0,20000,1.061,19780.00,-1442.12
2____10140____100____49____1206016764____,SH,588930,100,100,0,0,100,-3.894,154.00,543.40
2____10140____100____49____1206016764____,SH,600025,200,200,0,0,200,9.661,1962.00,29.84
2____10140____100____49____1206016764____,SH,600161,100,100,0,0,100,12.361,1216.00,-20.11
2____10140____100____49____1206016764____,SH,601018,100,100,0,0,100,3.510,347.00,-4.03
2____10140____100____49____1206016764____,SH,601136,100,100,0,0,100,16.062,1501.00,-105.15
2____10140____100____49____1206016764____,SH,601169,300,300,0,0,300,5.450,1656.00,20.86
2____10140____100____49____1206016764____,SH,601288,200,200,0,0,200,7.001,1410.00,9.88
2____10140____100____49____1206016764____,SH,601319,200,200,0,0,200,7.701,1580.00,39.87
2____10140____100____49____1206016764____,SH,601328,200,200,0,0,200,7.321,1484.00,19.87
2____10140____100____49____1206016764____,SH,601398,200,200,0,0,200,8.101,1640.00,19.86
2____10140____100____49____1206016764____,SH,601658,300,300,0,0,300,5.420,1665.00,38.86
2____10140____100____49____1206016764____,SH,601728,300,300,0,0,300,6.447,1941.00,6.83
2____10140____100____49____1206016764____,SH,601857,100,100,0,0,100,11.521,1126.00,-26.10
2____10140____100____49____1206016764____,SH,601898,100,100,0,0,100,16.001,1480.00,-120.14
2____10140____100____49____1206016764____,SH,601988,300,300,0,0,300,6.637,2001.00,9.83
