账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1206016764____,SZ,000301,0,0,0,0,100,0.000,0.00,-69.83
2____10140____100____49____1206016764____,SZ,000999,0,0,0,0,100,0.000,0.00,-39.67
2____10140____100____49____1206016764____,SZ,159273,100,100,0,0,100,-83.596,138.60,8498.22
2____10140____100____49____1206016764____,SZ,159329,100,100,0,0,100,3.311,91.60,-239.53
2____10140____100____49____1206016764____,SZ,159537,100,100,0,0,100,-2.545,88.10,342.59
2____10140____100____49____1206016764____,SZ,159632,100,100,0,0,100,-51.018,242.70,5344.48
2____10140____100____49____1206016764____,SZ,159867,335700,335700,0,0,335700,0.578,186313.50,-7724.94
2____10140____100____49____1206016764____,SZ,159928,100,100,0,0,100,-9.282,66.50,994.67
2____10140____100____49____1206016764____,SZ,159992,100,100,0,0,100,-27.950,85.10,2880.08
2____10140____100____49____1206016764____,SZ,159995,20000,20000,0,0,20000,1.189,22300.00,-1482.38
2____10140____100____49____1206016764____,SH,512930,100,100,0,0,100,-2.610,61.40,322.38
2____10140____100____49____1206016764____,SH,513010,100,100,0,0,100,-13.626,58.10,1420.68
2____10140____100____49____1206016764____,SH,516620,100,100,0,0,100,-8.392,85.90,925.10
2____10140____100____49____1206016764____,SH,517050,100,100,0,0,100,-2.463,65.70,312.00
2____10140____100____49____1206016764____,SH,588710,20000,20000,0,0,20000,1.061,19300.00,-1922.12
2____10140____100____49____1206016764____,SH,588930,100,100,0,0,100,-3.894,153.10,542.50
2____10140____100____49____1206016764____,SH,600025,0,0,0,0,200,0.000,0.00,34.93
2____10140____100____49____1206016764____,SH,600161,0,0,0,0,100,0.000,0.00,-23.72
2____10140____100____49____1206016764____,SH,601018,0,0,0,0,100,0.000,0.00,-9.20
2____10140____100____49____1206016764____,SH,601136,0,0,0,0,100,0.000,0.00,-96.91
2____10140____100____49____1206016764____,SH,601169,200,0,200,0,300,5.470,1108.00,14.03
2____10140____100____49____1206016764____,SH,601288,0,0,0,0,200,0.000,0.00,-7.82
2____10140____100____49____1206016764____,SH,601319,200,0,200,0,200,7.765,1608.00,55.07
2____10140____100____49____1206016764____,SH,601328,0,0,0,0,200,0.000,0.00,6.13
2____10140____100____49____1206016764____,SH,601398,0,0,0,0,200,0.000,0.00,4.04
2____10140____100____49____1206016764____,SH,601658,300,0,300,0,300,5.467,1635.00,-4.97
2____10140____100____49____1206016764____,SH,601728,400,300,100,0,300,6.463,2560.00,-25.17
2____10140____100____49____1206016764____,SH,601857,0,0,0,0,100,0.000,0.00,-27.67
2____10140____100____49____1206016764____,SH,601898,0,0,0,0,100,0.000,0.00,-104.89
2____10140____100____49____1206016764____,SH,601988,100,0,100,0,300,6.792,654.00,-25.16
2____10140____100____49____1206016764____,SZ,300413,100,0,100,0,0,20.983,2015.00,-83.28
2____10140____100____49____1206016764____,SH,600018,200,0,200,0,0,5.535,1104.00,-3.00
2____10140____100____49____1206016764____,SH,601998,100,0,100,0,0,8.880,878.00,-10.00
2____10140____100____49____1206016764____,SH,601916,200,0,200,0,0,2.985,594.00,-3.00
2____10140____100____49____1206016764____,SH,600039,100,0,100,0,0,9.540,927.00,-27.00
