账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1206016764____,SZ,300413,最优五档即时成交剩余撤销买入,20.920,100,2092.00,0.00,20260903,93004,10865,0102000001306627,940572678,rolling,,48
2____10140____100____49____1206016764____,SZ,000301,最优五档即时成交剩余撤销卖出,14.000,100,1400.00,0.00,20260903,93008,10987,0104000001517090,940572684,rolling,,48
2____10140____100____49____1206016764____,SZ,000999,最优五档即时成交剩余撤销卖出,24.170,100,2417.00,0.00,20260903,93017,11345,0103000001893994,940572692,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601728,最优五档即时成交剩余撤销买入,6.460,100,646.00,0.00,20260903,93028,10623,0000000000998086,940572673,g4,,48
2____10140____100____49____1206016764____,SH,600018,最优五档即时成交剩余撤销买入,5.510,200,1102.00,0.00,20260903,93029,10879,0000000001020030,940572679,rolling,,48
2____10140____100____49____1206016764____,SH,601998,最优五档即时成交剩余撤销买入,8.830,100,883.00,0.00,20260903,93029,10686,0000000001020458,940572674,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601916,最优五档即时成交剩余撤销买入,2.960,200,592.00,0.00,20260903,93029,10717,0000000001020869,940572675,pca_strategy,,48
2____10140____100____49____1206016764____,SH,600039,最优五档即时成交剩余撤销买入,9.490,100,949.00,0.00,20260903,93029,10911,0000000001029186,940572680,rolling,,48
2____10140____100____49____1206016764____,SH,601319,最优五档即时成交剩余撤销买入,7.980,100,798.00,0.00,20260903,93029,10949,0000000001033579,940572682,rolling,,48
2____10140____100____49____1206016764____,SH,601319,最优五档即时成交剩余撤销买入,7.980,100,798.00,0.00,20260903,93029,10949,0000000001033580,940572682,rolling,,48
2____10140____100____49____1206016764____,SH,601658,最优五档即时成交剩余撤销买入,5.550,300,1665.00,0.00,20260903,93030,10963,0000000001037544,940572683,rolling,,48
2____10140____100____49____1206016764____,SH,601136,最优五档即时成交剩余撤销卖出,15.150,100,1515.00,0.00,20260903,93030,11075,0000000001048718,940572685,rolling,,48
2____10140____100____49____1206016764____,SH,601898,最优五档即时成交剩余撤销卖出,15.010,100,1501.00,0.00,20260903,93030,11101,0000000001056244,940572686,rolling,,48
2____10140____100____49____1206016764____,SH,601398,最优五档即时成交剩余撤销卖出,8.150,200,1630.00,0.00,20260903,93031,11177,0000000001060798,940572688,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601169,最优五档即时成交剩余撤销买入,5.550,200,1110.00,0.00,20260903,93031,10932,0000000001061678,940572681,rolling,,48
2____10140____100____49____1206016764____,SH,601857,最优五档即时成交剩余撤销卖出,11.300,100,1130.00,0.00,20260903,93031,11304,0000000001081343,940572691,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601319,最优五档即时成交剩余撤销卖出,7.970,200,1594.00,0.00,20260903,93032,11408,0000000001094122,940572694,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601288,最优五档即时成交剩余撤销卖出,6.990,200,1398.00,0.00,20260903,93032,11167,0000000001098601,940572687,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601988,最优五档即时成交剩余撤销买入,6.640,100,664.00,0.00,20260903,93032,10784,0000000001104695,940572677,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601658,最优五档即时成交剩余撤销卖出,5.540,300,1662.00,0.00,20260903,93032,11502,0000000001108050,940572696,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601018,最优五档即时成交剩余撤销卖出,3.470,100,347.00,0.00,20260903,93033,11530,0000000001129495,940572697,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601169,最优五档即时成交剩余撤销卖出,5.540,300,1662.00,0.00,20260903,93033,11431,0000000001127667,940572695,pca_strategy,,48
2____10140____100____49____1206016764____,SH,600025,最优五档即时成交剩余撤销卖出,9.870,200,1974.00,0.00,20260903,93035,11223,0000000001177692,940572689,pca_strategy,,48
2____10140____100____49____1206016764____,SH,600161,最优五档即时成交剩余撤销卖出,12.180,100,1218.00,0.00,20260903,93036,11354,0000000001196807,940572693,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601328,最优五档即时成交剩余撤销卖出,7.380,200,1476.00,0.00,20260903,93036,11253,0000000001207451,940572690,pca_strategy,,48
2____10140____100____49____1206016764____,SH,601988,最优五档即时成交剩余撤销卖出,6.640,100,664.00,0.00,20260903,93042,12164,0000000001382299,940572698,rolling,,48
2____10140____100____49____1206016764____,SH,601988,最优五档即时成交剩余撤销卖出,6.640,200,1328.00,0.00,20260903,93042,12175,0000000001389750,940572699,pca_strategy,,48
