账号,市场,证券代码,操作,成交价格,成交数量,成交金额,手续费,成交日期,成交时间,委托编号,成交编号,订单编号,策略名称,备注,委托类型
2____10140____100____49____1219020189____,SZ,000895,最优五档即时成交剩余撤销买入,23.780,100,2378.00,0.00,20260903,93003,10839,0101000001431725,940572681,indicator,,48
2____10140____100____49____1219020189____,SZ,000596,最优五档即时成交剩余撤销买入,97.990,100,9799.00,0.00,20260903,93004,10861,0101000001480038,940572683,rolling,,48
2____10140____100____49____1219020189____,SZ,300413,最优五档即时成交剩余撤销买入,20.920,500,10460.00,0.00,20260903,93004,10874,0102000001316338,940572684,rolling,,48
2____10140____100____49____1219020189____,SZ,000301,最优五档即时成交剩余撤销卖出,14.000,600,8400.00,0.00,20260903,93008,11001,0104000001525968,940572691,rolling,,48
2____10140____100____49____1219020189____,SZ,000651,最优五档即时成交剩余撤销卖出,38.420,100,3842.00,0.00,20260903,93016,11292,0103000001854516,940572703,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000651,最优五档即时成交剩余撤销卖出,38.400,100,3840.00,0.00,20260903,93016,11292,0103000001854518,940572703,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000999,最优五档即时成交剩余撤销卖出,24.170,300,7251.00,0.00,20260903,93017,11351,0103000001895070,940572706,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000999,最优五档即时成交剩余撤销卖出,24.170,100,2417.00,0.00,20260903,93017,11351,0103000001895072,940572706,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000963,最优五档即时成交剩余撤销卖出,27.140,300,8142.00,0.00,20260903,93017,11363,0104000001823660,940572708,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000977,最优五档即时成交剩余撤销卖出,87.330,100,8733.00,0.00,20260903,93018,11401,0103000001946412,940572709,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000983,最优五档即时成交剩余撤销卖出,6.950,200,1390.00,0.00,20260903,93021,11527,0102000001826610,940572713,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601728,最优五档即时成交剩余撤销买入,6.460,600,3876.00,0.00,20260903,93028,10630,0000000001002127,940572673,g4,,48
2____10140____100____49____1219020189____,SH,601998,最优五档即时成交剩余撤销买入,8.830,300,2649.00,0.00,20260903,93029,10690,0000000001020542,940572675,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601916,最优五档即时成交剩余撤销买入,2.960,900,2664.00,0.00,20260903,93029,10720,0000000001023415,940572676,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600018,最优五档即时成交剩余撤销买入,5.510,1100,6061.00,0.00,20260903,93029,10887,0000000001024257,940572685,rolling,,48
2____10140____100____49____1219020189____,SH,600039,最优五档即时成交剩余撤销买入,9.490,400,3796.00,0.00,20260903,93029,10926,0000000001029650,940572686,rolling,,48
2____10140____100____49____1219020189____,SH,601319,最优五档即时成交剩余撤销买入,7.980,900,7182.00,0.00,20260903,93030,10957,0000000001037533,940572688,rolling,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销买入,5.550,1500,8325.00,0.00,20260903,93030,10970,0000000001037697,940572689,rolling,,48
2____10140____100____49____1219020189____,SH,601838,最优五档即时成交剩余撤销买入,19.380,100,1938.00,0.00,20260903,93030,10976,0000000001037715,940572690,rolling,,48
2____10140____100____49____1219020189____,SH,601919,最优五档即时成交剩余撤销买入,16.470,200,3294.00,0.00,20260903,93030,10821,0000000001041731,940572680,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601136,最优五档即时成交剩余撤销卖出,15.120,200,3024.00,0.00,20260903,93030,11093,0000000001052070,940572695,rolling,,48
2____10140____100____49____1219020189____,SH,601225,最优五档即时成交剩余撤销卖出,26.160,300,7848.00,0.00,20260903,93030,11095,0000000001052214,940572696,rolling,,48
2____10140____100____49____1219020189____,SH,601898,最优五档即时成交剩余撤销卖出,15.010,200,3002.00,0.00,20260903,93030,11113,0000000001056300,940572697,rolling,,48
2____10140____100____49____1219020189____,SH,601169,最优五档即时成交剩余撤销买入,5.550,900,4995.00,0.00,20260903,93031,10939,0000000001061867,940572687,rolling,,48
2____10140____100____49____1219020189____,SH,601398,最优五档即时成交剩余撤销卖出,8.150,1400,11410.00,0.00,20260903,93031,11194,0000000001066373,940572700,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601857,最优五档即时成交剩余撤销卖出,11.300,1000,11300.00,0.00,20260903,93031,11309,0000000001081524,940572704,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601319,最优五档即时成交剩余撤销卖出,7.970,1600,12752.00,0.00,20260903,93032,11420,0000000001094477,940572710,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601288,最优五档即时成交剩余撤销卖出,6.990,1700,11883.00,0.00,20260903,93032,11170,0000000001098662,940572699,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601668,最优五档即时成交剩余撤销买入,4.330,300,1299.00,0.00,20260903,93032,10651,0000000001101439,940572674,g50,,48
2____10140____100____49____1219020189____,SH,601988,最优五档即时成交剩余撤销买入,6.640,300,1992.00,0.00,20260903,93032,10795,0000000001104976,940572679,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销卖出,5.540,500,2770.00,0.00,20260903,93032,11514,0000000001108224,940572712,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销卖出,5.540,1000,5540.00,0.00,20260903,93032,11514,0000000001108225,940572712,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601658,最优五档即时成交剩余撤销卖出,5.540,600,3324.00,0.00,20260903,93032,11514,0000000001108226,940572712,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601600,最优五档即时成交剩余撤销卖出,9.770,100,977.00,0.00,20260903,93032,11547,0000000001111884,940572715,pca_strategy,,48
2____10140____100____49____1219020189____,SH,600039,最优五档即时成交剩余撤销卖出,9.490,100,949.00,0.00,20260903,93033,11555,0000000001115779,940572716,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601939,最优五档即时成交剩余撤销买入,11.090,200,2218.00,0.00,20260903,93033,10763,0000000001121493,940572677,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601018,最优五档即时成交剩余撤销卖出,3.470,300,1041.00,0.00,20260903,93033,11534,0000000001130251,940572714,pca_strategy,,48
2____10140____100____49____1219020189____,SH,601169,最优五档即时成交剩余撤销卖出,5.540,2100,11634.00,0.00,20260903,93033,11445,0000000001130608,940572711,pca_strategy,,48
2____10140____100____49____1219020189____,SH,688303,最优五档即时成交剩余撤销买入,16.880,218,3679.84,0.00,20260903,93033,10841,0000000001138276,940572682,indicator,,48
2____10140____100____49____1219020189____,SH,688009,最优五档即时成交剩余撤销买入,4.940,513,2534.22,0.00,20260903,93034,10778,0000000001141973,940572678,pca_strategy,,48
2____10140____100____49____1219020189____,SZ,000301,最优五档即时成交剩余撤销卖出,14.010,100,1401.00,0.00,20260903,93034,12041,0104000002279969,940572717,rolling,,48
