账号,市场,证券代码,当前拥股,可用数量,在途数量,冻结数量,昨夜拥股,成本价,市值,盈亏
2____10140____100____49____1219020189____,SZ,000301,0,0,0,0,700,0.000,0.00,-487.10
2____10140____100____49____1219020189____,SZ,000651,0,0,0,0,200,0.000,0.00,-141.89
2____10140____100____49____1219020189____,SZ,000723,300,300,0,0,300,4.286,1128.00,-157.78
2____10140____100____49____1219020189____,SZ,000938,0,0,0,0,100,0.000,0.00,58.43
2____10140____100____49____1219020189____,SZ,000963,0,0,0,0,300,0.000,0.00,-141.50
2____10140____100____49____1219020189____,SZ,000977,0,0,0,0,200,0.000,0.00,178.83
2____10140____100____49____1219020189____,SZ,000983,200,200,0,0,400,7.878,1382.00,-193.70
2____10140____100____49____1219020189____,SZ,000999,0,0,0,0,400,0.000,0.00,-162.83
2____10140____100____49____1219020189____,SZ,002648,0,0,0,0,100,0.000,0.00,-201.54
2____10140____100____49____1219020189____,SZ,300250,200,200,0,0,200,16.984,3222.00,-174.82
2____10140____100____49____1219020189____,SZ,300383,100,100,0,0,100,12.556,1220.00,-35.61
2____10140____100____49____1219020189____,SZ,300609,200,200,0,0,200,26.339,4922.00,-345.74
2____10140____100____49____1219020189____,SH,600025,0,0,0,0,1000,0.000,0.00,156.45
2____10140____100____49____1219020189____,SH,600028,0,0,0,0,100,0.000,0.00,28.78
2____10140____100____49____1219020189____,SH,600039,400,0,400,0,100,9.560,3708.00,-115.86
2____10140____100____49____1219020189____,SH,600161,0,0,0,0,700,0.000,0.00,-160.84
2____10140____100____49____1219020189____,SH,600188,0,0,0,0,100,0.000,0.00,-414.12
2____10140____100____49____1219020189____,SH,600346,0,0,0,0,100,0.000,0.00,-256.29
2____10140____100____49____1219020189____,SH,600547,0,0,0,0,300,0.000,0.00,718.94
2____10140____100____49____1219020189____,SH,600760,0,0,0,0,100,0.000,0.00,4.94
2____10140____100____49____1219020189____,SH,600850,100,100,0,0,100,15.545,1447.00,-107.45
2____10140____100____49____1219020189____,SH,600919,100,100,0,0,100,12.270,1212.00,-15.00
2____10140____100____49____1219020189____,SH,601018,0,0,0,0,300,0.000,0.00,-22.52
2____10140____100____49____1219020189____,SH,601100,0,0,0,0,100,0.000,0.00,-215.07
2____10140____100____49____1219020189____,SH,601136,0,0,0,0,300,0.000,0.00,-451.88
2____10140____100____49____1219020189____,SH,601169,900,0,900,0,2100,5.436,4986.00,93.29
2____10140____100____49____1219020189____,SH,601225,0,0,0,0,300,0.000,0.00,-271.46
2____10140____100____49____1219020189____,SH,601229,200,200,0,0,200,9.615,1920.00,-3.00
2____10140____100____49____1219020189____,SH,601288,0,0,0,0,1700,0.000,0.00,-86.59
2____10140____100____49____1219020189____,SH,601319,900,0,900,0,1600,7.662,7236.00,339.81
2____10140____100____49____1219020189____,SH,601328,0,0,0,0,1500,0.000,0.00,17.25
2____10140____100____49____1219020189____,SH,601398,0,0,0,0,1400,0.000,0.00,-3.94
2____10140____100____49____1219020189____,SH,601600,0,0,0,0,100,0.000,0.00,0.51
2____10140____100____49____1219020189____,SH,601658,1500,0,1500,0,2100,5.452,8175.00,-3.70
2____10140____100____49____1219020189____,SH,601728,2400,1800,600,0,1800,6.462,15360.00,-149.63
2____10140____100____49____1219020189____,SH,601857,0,0,0,0,1000,0.000,0.00,-272.55
2____10140____100____49____1219020189____,SH,601872,100,100,0,0,100,18.690,1930.00,61.00
2____10140____100____49____1219020189____,SH,601898,0,0,0,0,300,0.000,0.00,-313.26
2____10140____100____49____1219020189____,SH,601919,300,100,200,0,100,16.743,4971.00,-51.88
2____10140____100____49____1219020189____,SH,601988,300,0,300,0,1900,6.821,1962.00,-84.15
2____10140____100____49____1219020189____,SH,601998,500,200,300,0,200,8.860,4390.00,-39.95
2____10140____100____49____1219020189____,SH,688126,481,481,0,0,481,24.250,11269.83,-394.61
2____10140____100____49____1219020189____,SH,688223,1047,1047,0,0,1047,4.125,4198.47,-120.17
2____10140____100____49____1219020189____,SH,688472,481,481,0,0,481,8.960,4189.51,-120.44
2____10140____100____49____1219020189____,SZ,000895,100,0,100,0,0,23.851,2367.00,-18.13
2____10140____100____49____1219020189____,SZ,000596,100,0,100,0,0,98.284,9676.00,-152.40
2____10140____100____49____1219020189____,SZ,300413,500,0,500,0,0,20.983,10075.00,-416.38
2____10140____100____49____1219020189____,SH,601916,900,0,900,0,0,2.969,2673.00,1.01
2____10140____100____49____1219020189____,SH,600018,1100,0,1100,0,0,5.527,6072.00,-7.18
2____10140____100____49____1219020189____,SH,601838,100,0,100,0,0,19.438,1940.00,-3.81
2____10140____100____49____1219020189____,SH,601668,300,0,300,0,0,4.347,1311.00,7.00
2____10140____100____49____1219020189____,SH,601939,200,0,200,0,0,11.123,2190.00,-34.65
2____10140____100____49____1219020189____,SH,688303,218,0,218,0,0,16.931,3614.44,-76.44
2____10140____100____49____1219020189____,SH,688009,513,0,513,0,0,4.955,2518.83,-22.99
